corpus_unit_id,passage_text,plant_name,chemical_name,text,label
12,The developed method was applied for the determination of chlorogenic acid in mate tea extracts obtained by ethanol extraction and liquid carbon dioxide extraction with ethanol as co-solvent.,mate,carbon dioxide,Relation of mate and carbon dioxide on The developed method was applied for the determination of chlorogenic acid in mate tea extracts obtained by ethanol extraction and liquid carbon dioxide extraction with ethanol as co-solvent.,Negative
13,The developed method was applied for the determination of chlorogenic acid in mate tea extracts obtained by ethanol extraction and liquid carbon dioxide extraction with ethanol as co-solvent.,mate,ethanol,Relation of mate and ethanol on The developed method was applied for the determination of chlorogenic acid in mate tea extracts obtained by ethanol extraction and liquid carbon dioxide extraction with ethanol as co-solvent.,Negative
14,"Eight species of Rutaceae or Umbelliferae, known to cause or suspected of causing photophytodermatitis, had the linear furanocoumarins psoralen, bergapten, and xanthotoxin on their leaf surfaces, in concentrations varying from 0.014 to 1800 /gmg/g fresh weight, equivalent to 0.17-56% of the total leaf concentration.",Rutaceae,furanocoumarins psoralen,"Relation of Rutaceae and furanocoumarins psoralen on Eight species of Rutaceae or Umbelliferae, known to cause or suspected of causing photophytodermatitis, had the linear furanocoumarins psoralen, bergapten, and xanthotoxin on their leaf surfaces, in concentrations varying from 0.014 to 1800 /gmg/g fresh weight, equivalent to 0.17-56% of the total leaf concentration.",Positive
15,"Eight species of Rutaceae or Umbelliferae, known to cause or suspected of causing photophytodermatitis, had the linear furanocoumarins psoralen, bergapten, and xanthotoxin on their leaf surfaces, in concentrations varying from 0.014 to 1800 /gmg/g fresh weight, equivalent to 0.17-56% of the total leaf concentration.",Rutaceae,bergapten,"Relation of Rutaceae and bergapten on Eight species of Rutaceae or Umbelliferae, known to cause or suspected of causing photophytodermatitis, had the linear furanocoumarins psoralen, bergapten, and xanthotoxin on their leaf surfaces, in concentrations varying from 0.014 to 1800 /gmg/g fresh weight, equivalent to 0.17-56% of the total leaf concentration.",Positive
16,"Eight species of Rutaceae or Umbelliferae, known to cause or suspected of causing photophytodermatitis, had the linear furanocoumarins psoralen, bergapten, and xanthotoxin on their leaf surfaces, in concentrations varying from 0.014 to 1800 /gmg/g fresh weight, equivalent to 0.17-56% of the total leaf concentration.",Rutaceae,xanthotoxin,"Relation of Rutaceae and xanthotoxin on Eight species of Rutaceae or Umbelliferae, known to cause or suspected of causing photophytodermatitis, had the linear furanocoumarins psoralen, bergapten, and xanthotoxin on their leaf surfaces, in concentrations varying from 0.014 to 1800 /gmg/g fresh weight, equivalent to 0.17-56% of the total leaf concentration.",Positive
17,"Eight species of Rutaceae or Umbelliferae, known to cause or suspected of causing photophytodermatitis, had the linear furanocoumarins psoralen, bergapten, and xanthotoxin on their leaf surfaces, in concentrations varying from 0.014 to 1800 /gmg/g fresh weight, equivalent to 0.17-56% of the total leaf concentration.",Umbelliferae,furanocoumarins psoralen,"Relation of Umbelliferae and furanocoumarins psoralen on Eight species of Rutaceae or Umbelliferae, known to cause or suspected of causing photophytodermatitis, had the linear furanocoumarins psoralen, bergapten, and xanthotoxin on their leaf surfaces, in concentrations varying from 0.014 to 1800 /gmg/g fresh weight, equivalent to 0.17-56% of the total leaf concentration.",Positive
18,"Eight species of Rutaceae or Umbelliferae, known to cause or suspected of causing photophytodermatitis, had the linear furanocoumarins psoralen, bergapten, and xanthotoxin on their leaf surfaces, in concentrations varying from 0.014 to 1800 /gmg/g fresh weight, equivalent to 0.17-56% of the total leaf concentration.",Umbelliferae,bergapten,"Relation of Umbelliferae and bergapten on Eight species of Rutaceae or Umbelliferae, known to cause or suspected of causing photophytodermatitis, had the linear furanocoumarins psoralen, bergapten, and xanthotoxin on their leaf surfaces, in concentrations varying from 0.014 to 1800 /gmg/g fresh weight, equivalent to 0.17-56% of the total leaf concentration.",Positive
19,"Eight species of Rutaceae or Umbelliferae, known to cause or suspected of causing photophytodermatitis, had the linear furanocoumarins psoralen, bergapten, and xanthotoxin on their leaf surfaces, in concentrations varying from 0.014 to 1800 /gmg/g fresh weight, equivalent to 0.17-56% of the total leaf concentration.",Umbelliferae,xanthotoxin,"Relation of Umbelliferae and xanthotoxin on Eight species of Rutaceae or Umbelliferae, known to cause or suspected of causing photophytodermatitis, had the linear furanocoumarins psoralen, bergapten, and xanthotoxin on their leaf surfaces, in concentrations varying from 0.014 to 1800 /gmg/g fresh weight, equivalent to 0.17-56% of the total leaf concentration.",Positive
20,"Natural levels of dimethyl sulfide (DMS) in newly harvested wheat, barley, paddy, and canola were determined by gas chromatography using a flame photometric detector in sulfur mode.",wheat,dimethyl sulfide,"Relation of wheat and dimethyl sulfide on Natural levels of dimethyl sulfide (DMS) in newly harvested wheat, barley, paddy, and canola were determined by gas chromatography using a flame photometric detector in sulfur mode.",Positive
21,"Natural levels of dimethyl sulfide (DMS) in newly harvested wheat, barley, paddy, and canola were determined by gas chromatography using a flame photometric detector in sulfur mode.",barley,dimethyl sulfide,"Relation of barley and dimethyl sulfide on Natural levels of dimethyl sulfide (DMS) in newly harvested wheat, barley, paddy, and canola were determined by gas chromatography using a flame photometric detector in sulfur mode.",Positive
22,"Natural levels of dimethyl sulfide (DMS) in newly harvested wheat, barley, paddy, and canola were determined by gas chromatography using a flame photometric detector in sulfur mode.",paddy,dimethyl sulfide,"Relation of paddy and dimethyl sulfide on Natural levels of dimethyl sulfide (DMS) in newly harvested wheat, barley, paddy, and canola were determined by gas chromatography using a flame photometric detector in sulfur mode.",Positive
23,"Natural levels of dimethyl sulfide (DMS) in newly harvested wheat, barley, paddy, and canola were determined by gas chromatography using a flame photometric detector in sulfur mode.",canola,dimethyl sulfide,"Relation of canola and dimethyl sulfide on Natural levels of dimethyl sulfide (DMS) in newly harvested wheat, barley, paddy, and canola were determined by gas chromatography using a flame photometric detector in sulfur mode.",Positive
24,"Natural levels of dimethyl sulfide (DMS) in newly harvested wheat, barley, paddy, and canola were determined by gas chromatography using a flame photometric detector in sulfur mode.",wheat,DMS,"Relation of wheat and DMS on Natural levels of dimethyl sulfide (DMS) in newly harvested wheat, barley, paddy, and canola were determined by gas chromatography using a flame photometric detector in sulfur mode.",Positive
25,"Natural levels of dimethyl sulfide (DMS) in newly harvested wheat, barley, paddy, and canola were determined by gas chromatography using a flame photometric detector in sulfur mode.",barley,DMS,"Relation of barley and DMS on Natural levels of dimethyl sulfide (DMS) in newly harvested wheat, barley, paddy, and canola were determined by gas chromatography using a flame photometric detector in sulfur mode.",Positive
26,"Natural levels of dimethyl sulfide (DMS) in newly harvested wheat, barley, paddy, and canola were determined by gas chromatography using a flame photometric detector in sulfur mode.",paddy,DMS,"Relation of paddy and DMS on Natural levels of dimethyl sulfide (DMS) in newly harvested wheat, barley, paddy, and canola were determined by gas chromatography using a flame photometric detector in sulfur mode.",Positive
27,"Natural levels of dimethyl sulfide (DMS) in newly harvested wheat, barley, paddy, and canola were determined by gas chromatography using a flame photometric detector in sulfur mode.",canola,DMS,"Relation of canola and DMS on Natural levels of dimethyl sulfide (DMS) in newly harvested wheat, barley, paddy, and canola were determined by gas chromatography using a flame photometric detector in sulfur mode.",Positive
28,"Sulforaphane (SF), a dietary phytochemical obtained from broccoli, has been implicated in several physiological processes consistent with anticarcinogenic activity, including enhanced xenobiotic metabolism, cell cycle arrest, and apoptosis.",broccoli,Sulforaphane,"Relation of broccoli and Sulforaphane on Sulforaphane (SF), a dietary phytochemical obtained from broccoli, has been implicated in several physiological processes consistent with anticarcinogenic activity, including enhanced xenobiotic metabolism, cell cycle arrest, and apoptosis.",Positive
29,"Sulforaphane (SF), a dietary phytochemical obtained from broccoli, has been implicated in several physiological processes consistent with anticarcinogenic activity, including enhanced xenobiotic metabolism, cell cycle arrest, and apoptosis.",broccoli,SF,"Relation of broccoli and SF on Sulforaphane (SF), a dietary phytochemical obtained from broccoli, has been implicated in several physiological processes consistent with anticarcinogenic activity, including enhanced xenobiotic metabolism, cell cycle arrest, and apoptosis.",Positive
30,An estimate of the range of the E(i) of saquinavir (7-60%) was less than has been predicted based on in vitro data (>99%) but was consistent with a clinical study involving grapefruit juice.,grapefruit,saquinavir,Relation of grapefruit and saquinavir on An estimate of the range of the E(i) of saquinavir (7-60%) was less than has been predicted based on in vitro data (>99%) but was consistent with a clinical study involving grapefruit juice.,Negative
31,Synthesis of O-acylhomoserine esters was detected only in Pisum sativum L. and Lathyrus sativus L.,Pisum sativum L,O-acylhomoserine esters,Relation of Pisum sativum L and O-acylhomoserine esters on Synthesis of O-acylhomoserine esters was detected only in Pisum sativum L. and Lathyrus sativus L.,Positive
32,Synthesis of O-acylhomoserine esters was detected only in Pisum sativum L. and Lathyrus sativus L.,Lathyrus sativus L,O-acylhomoserine esters,Relation of Lathyrus sativus L and O-acylhomoserine esters on Synthesis of O-acylhomoserine esters was detected only in Pisum sativum L. and Lathyrus sativus L.,Positive
33,"The oral absorption of zinc, from a test meal of minced beef, mashed potatoes and peas, have been measured in 19 healthy adults using the radiotracer 65Zn.",potatoes,zinc,"Relation of potatoes and zinc on The oral absorption of zinc, from a test meal of minced beef, mashed potatoes and peas, have been measured in 19 healthy adults using the radiotracer 65Zn.",Positive
34,"The oral absorption of zinc, from a test meal of minced beef, mashed potatoes and peas, have been measured in 19 healthy adults using the radiotracer 65Zn.",peas,zinc,"Relation of peas and zinc on The oral absorption of zinc, from a test meal of minced beef, mashed potatoes and peas, have been measured in 19 healthy adults using the radiotracer 65Zn.",Positive
35,"To evaluate the effect of hydroxysafflor yellow A (HSYA), an active chemical compound derived from the flowers of Carthamus tinctorius L.",Carthamus tinctorius L,hydroxysafflor yellow A,"Relation of Carthamus tinctorius L and hydroxysafflor yellow A on To evaluate the effect of hydroxysafflor yellow A (HSYA), an active chemical compound derived from the flowers of Carthamus tinctorius L.",Positive
36,"To evaluate the effect of hydroxysafflor yellow A (HSYA), an active chemical compound derived from the flowers of Carthamus tinctorius L.",Carthamus tinctorius L,HSYA,"Relation of Carthamus tinctorius L and HSYA on To evaluate the effect of hydroxysafflor yellow A (HSYA), an active chemical compound derived from the flowers of Carthamus tinctorius L.",Positive
37,"Analysis of grapes, peanuts, and Itadori tea shows that they contain mainly trans-resveratrol glucoside.",grapes,trans-resveratrol glucoside,"Relation of grapes and trans-resveratrol glucoside on Analysis of grapes, peanuts, and Itadori tea shows that they contain mainly trans-resveratrol glucoside.",Positive
38,"Analysis of grapes, peanuts, and Itadori tea shows that they contain mainly trans-resveratrol glucoside.",peanuts,trans-resveratrol glucoside,"Relation of peanuts and trans-resveratrol glucoside on Analysis of grapes, peanuts, and Itadori tea shows that they contain mainly trans-resveratrol glucoside.",Positive
39,"Analysis of grapes, peanuts, and Itadori tea shows that they contain mainly trans-resveratrol glucoside.",Itadori,trans-resveratrol glucoside,"Relation of Itadori and trans-resveratrol glucoside on Analysis of grapes, peanuts, and Itadori tea shows that they contain mainly trans-resveratrol glucoside.",Positive
40,"Eugenol, the major constituent of clove oil, has been widely used for its anesthetic and analgesic action in dentistry.",clove,Eugenol,"Relation of clove and Eugenol on Eugenol, the major constituent of clove oil, has been widely used for its anesthetic and analgesic action in dentistry.",Positive
41,"Ginsenosides are the main active components of medicinal herbs including Panax ginseng and Panax quinquefolium, which have potent effects of anti-tumor, anti-inflammatory, antioxidant and apoptosis inhibition.",Panax ginseng,Ginsenosides,"Relation of Panax ginseng and Ginsenosides on Ginsenosides are the main active components of medicinal herbs including Panax ginseng and Panax quinquefolium, which have potent effects of anti-tumor, anti-inflammatory, antioxidant and apoptosis inhibition.",Positive
42,"Ginsenosides are the main active components of medicinal herbs including Panax ginseng and Panax quinquefolium, which have potent effects of anti-tumor, anti-inflammatory, antioxidant and apoptosis inhibition.",Panax quinquefolium,Ginsenosides,"Relation of Panax quinquefolium and Ginsenosides on Ginsenosides are the main active components of medicinal herbs including Panax ginseng and Panax quinquefolium, which have potent effects of anti-tumor, anti-inflammatory, antioxidant and apoptosis inhibition.",Positive
43,"A newly established fiber-optic fluorimetry was used to determine the fluoranthene (Fla) adsorbed on the leaf surfaces of three mangrove species, such as Excoecarla agallocha (Ea), Kandelia candel (Kc) and Aegiceras corniculatum (Ac).",Excoecarla agallocha,fluoranthene,"Relation of Excoecarla agallocha and fluoranthene on A newly established fiber-optic fluorimetry was used to determine the fluoranthene (Fla) adsorbed on the leaf surfaces of three mangrove species, such as Excoecarla agallocha (Ea), Kandelia candel (Kc) and Aegiceras corniculatum (Ac).",Negative
44,"A newly established fiber-optic fluorimetry was used to determine the fluoranthene (Fla) adsorbed on the leaf surfaces of three mangrove species, such as Excoecarla agallocha (Ea), Kandelia candel (Kc) and Aegiceras corniculatum (Ac).",Excoecarla agallocha,Fla,"Relation of Excoecarla agallocha and Fla on A newly established fiber-optic fluorimetry was used to determine the fluoranthene (Fla) adsorbed on the leaf surfaces of three mangrove species, such as Excoecarla agallocha (Ea), Kandelia candel (Kc) and Aegiceras corniculatum (Ac).",Negative
45,"A newly established fiber-optic fluorimetry was used to determine the fluoranthene (Fla) adsorbed on the leaf surfaces of three mangrove species, such as Excoecarla agallocha (Ea), Kandelia candel (Kc) and Aegiceras corniculatum (Ac).",Ea,fluoranthene,"Relation of Ea and fluoranthene on A newly established fiber-optic fluorimetry was used to determine the fluoranthene (Fla) adsorbed on the leaf surfaces of three mangrove species, such as Excoecarla agallocha (Ea), Kandelia candel (Kc) and Aegiceras corniculatum (Ac).",Negative
46,"A newly established fiber-optic fluorimetry was used to determine the fluoranthene (Fla) adsorbed on the leaf surfaces of three mangrove species, such as Excoecarla agallocha (Ea), Kandelia candel (Kc) and Aegiceras corniculatum (Ac).",Ea,Fla,"Relation of Ea and Fla on A newly established fiber-optic fluorimetry was used to determine the fluoranthene (Fla) adsorbed on the leaf surfaces of three mangrove species, such as Excoecarla agallocha (Ea), Kandelia candel (Kc) and Aegiceras corniculatum (Ac).",Negative
47,"A newly established fiber-optic fluorimetry was used to determine the fluoranthene (Fla) adsorbed on the leaf surfaces of three mangrove species, such as Excoecarla agallocha (Ea), Kandelia candel (Kc) and Aegiceras corniculatum (Ac).",Kandelia candel,fluoranthene,"Relation of Kandelia candel and fluoranthene on A newly established fiber-optic fluorimetry was used to determine the fluoranthene (Fla) adsorbed on the leaf surfaces of three mangrove species, such as Excoecarla agallocha (Ea), Kandelia candel (Kc) and Aegiceras corniculatum (Ac).",Negative
48,"A newly established fiber-optic fluorimetry was used to determine the fluoranthene (Fla) adsorbed on the leaf surfaces of three mangrove species, such as Excoecarla agallocha (Ea), Kandelia candel (Kc) and Aegiceras corniculatum (Ac).",Kandelia candel,Fla,"Relation of Kandelia candel and Fla on A newly established fiber-optic fluorimetry was used to determine the fluoranthene (Fla) adsorbed on the leaf surfaces of three mangrove species, such as Excoecarla agallocha (Ea), Kandelia candel (Kc) and Aegiceras corniculatum (Ac).",Negative
49,"A newly established fiber-optic fluorimetry was used to determine the fluoranthene (Fla) adsorbed on the leaf surfaces of three mangrove species, such as Excoecarla agallocha (Ea), Kandelia candel (Kc) and Aegiceras corniculatum (Ac).",Kc,fluoranthene,"Relation of Kc and fluoranthene on A newly established fiber-optic fluorimetry was used to determine the fluoranthene (Fla) adsorbed on the leaf surfaces of three mangrove species, such as Excoecarla agallocha (Ea), Kandelia candel (Kc) and Aegiceras corniculatum (Ac).",Negative
50,"A newly established fiber-optic fluorimetry was used to determine the fluoranthene (Fla) adsorbed on the leaf surfaces of three mangrove species, such as Excoecarla agallocha (Ea), Kandelia candel (Kc) and Aegiceras corniculatum (Ac).",Kc,Fla,"Relation of Kc and Fla on A newly established fiber-optic fluorimetry was used to determine the fluoranthene (Fla) adsorbed on the leaf surfaces of three mangrove species, such as Excoecarla agallocha (Ea), Kandelia candel (Kc) and Aegiceras corniculatum (Ac).",Negative
51,"A newly established fiber-optic fluorimetry was used to determine the fluoranthene (Fla) adsorbed on the leaf surfaces of three mangrove species, such as Excoecarla agallocha (Ea), Kandelia candel (Kc) and Aegiceras corniculatum (Ac).",Aegiceras corniculatum,fluoranthene,"Relation of Aegiceras corniculatum and fluoranthene on A newly established fiber-optic fluorimetry was used to determine the fluoranthene (Fla) adsorbed on the leaf surfaces of three mangrove species, such as Excoecarla agallocha (Ea), Kandelia candel (Kc) and Aegiceras corniculatum (Ac).",Negative
52,"A newly established fiber-optic fluorimetry was used to determine the fluoranthene (Fla) adsorbed on the leaf surfaces of three mangrove species, such as Excoecarla agallocha (Ea), Kandelia candel (Kc) and Aegiceras corniculatum (Ac).",Aegiceras corniculatum,Fla,"Relation of Aegiceras corniculatum and Fla on A newly established fiber-optic fluorimetry was used to determine the fluoranthene (Fla) adsorbed on the leaf surfaces of three mangrove species, such as Excoecarla agallocha (Ea), Kandelia candel (Kc) and Aegiceras corniculatum (Ac).",Negative
53,"A newly established fiber-optic fluorimetry was used to determine the fluoranthene (Fla) adsorbed on the leaf surfaces of three mangrove species, such as Excoecarla agallocha (Ea), Kandelia candel (Kc) and Aegiceras corniculatum (Ac).",Ac,fluoranthene,"Relation of Ac and fluoranthene on A newly established fiber-optic fluorimetry was used to determine the fluoranthene (Fla) adsorbed on the leaf surfaces of three mangrove species, such as Excoecarla agallocha (Ea), Kandelia candel (Kc) and Aegiceras corniculatum (Ac).",Negative
54,"A newly established fiber-optic fluorimetry was used to determine the fluoranthene (Fla) adsorbed on the leaf surfaces of three mangrove species, such as Excoecarla agallocha (Ea), Kandelia candel (Kc) and Aegiceras corniculatum (Ac).",Ac,Fla,"Relation of Ac and Fla on A newly established fiber-optic fluorimetry was used to determine the fluoranthene (Fla) adsorbed on the leaf surfaces of three mangrove species, such as Excoecarla agallocha (Ea), Kandelia candel (Kc) and Aegiceras corniculatum (Ac).",Negative
55,"Patients in the intervention group (n = 90) were instructed to follow a Mediterranean-style diet and received detailed advice about how to increase daily consumption of whole grains, fruits, vegetables, nuts, and olive oil; patients in the control group (n = 90) followed a prudent diet (carbohydrates, 50%-60%; proteins, 15%-20%; total fat, <30%).",olive,carbohydrates,"Relation of olive and carbohydrates on Patients in the intervention group (n = 90) were instructed to follow a Mediterranean-style diet and received detailed advice about how to increase daily consumption of whole grains, fruits, vegetables, nuts, and olive oil; patients in the control group (n = 90) followed a prudent diet (carbohydrates, 50%-60%; proteins, 15%-20%; total fat, <30%).",Negative
56,To study the protective effect of panax notoginseng saponins (PNS) on human umbilical vascular endothelial cells (HUVECs) injury induced by oxidized low-density lipoprotein (ox-LDL) for investigating the mechanism of PNS in treating arteriosclerosis obliterans (ASO).,panax notoginseng,saponins,Relation of panax notoginseng and saponins on To study the protective effect of panax notoginseng saponins (PNS) on human umbilical vascular endothelial cells (HUVECs) injury induced by oxidized low-density lipoprotein (ox-LDL) for investigating the mechanism of PNS in treating arteriosclerosis obliterans (ASO).,Positive
57,"The activities were inhibited effectively by soybean trypsin inhibitor, TLCK and partially inhibited by EDTA, but were not inhibited by E-64, N-ethylmaleimide, iodoacetic acid, TPCK and pepstatin A.",soybean,TLCK,"Relation of soybean and TLCK on The activities were inhibited effectively by soybean trypsin inhibitor, TLCK and partially inhibited by EDTA, but were not inhibited by E-64, N-ethylmaleimide, iodoacetic acid, TPCK and pepstatin A.",Positive
58,"The activities were inhibited effectively by soybean trypsin inhibitor, TLCK and partially inhibited by EDTA, but were not inhibited by E-64, N-ethylmaleimide, iodoacetic acid, TPCK and pepstatin A.",soybean,EDTA,"Relation of soybean and EDTA on The activities were inhibited effectively by soybean trypsin inhibitor, TLCK and partially inhibited by EDTA, but were not inhibited by E-64, N-ethylmaleimide, iodoacetic acid, TPCK and pepstatin A.",Negative
59,"The activities were inhibited effectively by soybean trypsin inhibitor, TLCK and partially inhibited by EDTA, but were not inhibited by E-64, N-ethylmaleimide, iodoacetic acid, TPCK and pepstatin A.",soybean,TPCK,"Relation of soybean and TPCK on The activities were inhibited effectively by soybean trypsin inhibitor, TLCK and partially inhibited by EDTA, but were not inhibited by E-64, N-ethylmaleimide, iodoacetic acid, TPCK and pepstatin A.",Negative
60,"The activities were inhibited effectively by soybean trypsin inhibitor, TLCK and partially inhibited by EDTA, but were not inhibited by E-64, N-ethylmaleimide, iodoacetic acid, TPCK and pepstatin A.",soybean,E-64,"Relation of soybean and E-64 on The activities were inhibited effectively by soybean trypsin inhibitor, TLCK and partially inhibited by EDTA, but were not inhibited by E-64, N-ethylmaleimide, iodoacetic acid, TPCK and pepstatin A.",Negative
61,"The activities were inhibited effectively by soybean trypsin inhibitor, TLCK and partially inhibited by EDTA, but were not inhibited by E-64, N-ethylmaleimide, iodoacetic acid, TPCK and pepstatin A.",soybean,N-ethylmaleimide,"Relation of soybean and N-ethylmaleimide on The activities were inhibited effectively by soybean trypsin inhibitor, TLCK and partially inhibited by EDTA, but were not inhibited by E-64, N-ethylmaleimide, iodoacetic acid, TPCK and pepstatin A.",Negative
62,"The activities were inhibited effectively by soybean trypsin inhibitor, TLCK and partially inhibited by EDTA, but were not inhibited by E-64, N-ethylmaleimide, iodoacetic acid, TPCK and pepstatin A.",soybean,iodoacetic acid,"Relation of soybean and iodoacetic acid on The activities were inhibited effectively by soybean trypsin inhibitor, TLCK and partially inhibited by EDTA, but were not inhibited by E-64, N-ethylmaleimide, iodoacetic acid, TPCK and pepstatin A.",Negative
63,"The activities were inhibited effectively by soybean trypsin inhibitor, TLCK and partially inhibited by EDTA, but were not inhibited by E-64, N-ethylmaleimide, iodoacetic acid, TPCK and pepstatin A.",soybean,pepstatin A,"Relation of soybean and pepstatin A on The activities were inhibited effectively by soybean trypsin inhibitor, TLCK and partially inhibited by EDTA, but were not inhibited by E-64, N-ethylmaleimide, iodoacetic acid, TPCK and pepstatin A.",Negative
64,"The aim of this study was to investigate the capacity of an artificial neural network (ANN) to analyse thin layer chromatography (TLC) chromatograms as fingerprint patterns for quantitative estimation of chlorogenic acid, caffeic acid and rutin in Calendula plant extracts.",Calendula,chlorogenic acid,"Relation of Calendula and chlorogenic acid on The aim of this study was to investigate the capacity of an artificial neural network (ANN) to analyse thin layer chromatography (TLC) chromatograms as fingerprint patterns for quantitative estimation of chlorogenic acid, caffeic acid and rutin in Calendula plant extracts.",Positive
65,"The aim of this study was to investigate the capacity of an artificial neural network (ANN) to analyse thin layer chromatography (TLC) chromatograms as fingerprint patterns for quantitative estimation of chlorogenic acid, caffeic acid and rutin in Calendula plant extracts.",Calendula,caffeic acid,"Relation of Calendula and caffeic acid on The aim of this study was to investigate the capacity of an artificial neural network (ANN) to analyse thin layer chromatography (TLC) chromatograms as fingerprint patterns for quantitative estimation of chlorogenic acid, caffeic acid and rutin in Calendula plant extracts.",Positive
66,"The aim of this study was to investigate the capacity of an artificial neural network (ANN) to analyse thin layer chromatography (TLC) chromatograms as fingerprint patterns for quantitative estimation of chlorogenic acid, caffeic acid and rutin in Calendula plant extracts.",Calendula,rutin,"Relation of Calendula and rutin on The aim of this study was to investigate the capacity of an artificial neural network (ANN) to analyse thin layer chromatography (TLC) chromatograms as fingerprint patterns for quantitative estimation of chlorogenic acid, caffeic acid and rutin in Calendula plant extracts.",Positive
67,"Electronic cigarettes (e-cigarettes) are novel, battery-operated inhalation devices that provide warm, vaporized nicotine, and often propylene glycol, to users without the inclusion of tobacco smoke.",tobacco,nicotine,"Relation of tobacco and nicotine on Electronic cigarettes (e-cigarettes) are novel, battery-operated inhalation devices that provide warm, vaporized nicotine, and often propylene glycol, to users without the inclusion of tobacco smoke.",Negative
68,"Electronic cigarettes (e-cigarettes) are novel, battery-operated inhalation devices that provide warm, vaporized nicotine, and often propylene glycol, to users without the inclusion of tobacco smoke.",tobacco,propylene glycol,"Relation of tobacco and propylene glycol on Electronic cigarettes (e-cigarettes) are novel, battery-operated inhalation devices that provide warm, vaporized nicotine, and often propylene glycol, to users without the inclusion of tobacco smoke.",Negative
